"Earmarking 1DonorIncomeContributionIncomeContribution"
Afghanistan
"Belgium00986,207986,207"
"Deutsche Stiftung (GFR)0099,10899,108"
"España con ACNUR (SPA)117,674257,85400"
"European Commission176,056176,0569,342,0289,349,915"
"Germany004,181,2344,181,234"
"Holy See0025,00025,000"
"Italy001,208,5471,208,547"
"Japan1,750,0001,750,00029,591,25429,591,254"
"Japan Association for UNHCR (JPN)87,13187,13100"
"Luxembourg00739,896739,896"
"Norway00119,190119,190"
"Private Donors Afghanistan003,1603,160"
"Private Donors Austria001,1121,112"
"Private Donors Bahrain007,0007,000"
"Private Donors Cyprus001,7611,761"
"Private Donors Germany0076,81476,814"
"Private Donors Japan8,4038,40300"
Private Donors Netherlands00239239
"Private Donors Sweden001,0001,000"
"Private Donors United States of America001,9551,955"
"Saudi Arabia00500,000500,000"
"Shin-Nyo-En Foundation (JPN)42,01742,01700"
"Soroptimist International (JPN)21,53821,53800"
"Sweden004,854,3694,854,369"
"United States of America2,202,4452,202,44500"
"USA for UNHCR (USA)00146,250146,250"
"World Conference on Religion (JPN)00163,268163,268"
""
Islamic Republic of Iran
"Association française de soutienà l’UNHCR (FRA)11,83311,83300"
"European Commission002,650,0872,650,087"
"Germany492,126492,126117,400117,400"
"Ireland259,067259,06700"
"Japan750,000750,0004,750,0004,750,000"
"Switzerland400,447400,44700"
"United States of America6,075,0006,075,00000"
""
Pakistan
"China0033,60033,600"
"Deutsche Stiftung (GFR)256,343256,34300"
"España con ACNUR (SPA)0238,49200"
"",Ireland,"302,245","302,245",0 0
"",Japan,"750,000","750,000","2,250,000 2,250,000"
"",Private Donors Austria,"4,478","4,478",0 0
"",Qatar Charitable Society (QATU),0,0,"355,000 355,000"
"","Rotary International, Pakistan",0,0,"30,837 30,837"
"",Switzerland,"790,312","790,312",0 0
"",United States of America,"7,970,000","7,970,000",0 0
"",USA for UNHCR (USA),"194,000","194,000",0 0
South-West Asia,,,,
"",Amitié sans Frontières (MCO),0,0,"25,907 25,907"
"",Argentina con ACNUR (ARG),0,0,"7,059 7,059"
"",Association française de soutien,,,
"",à l’UNHCR (FRA),0,0,"136,599 136,599"
"",Australia,0,0,"5,652,911 5,652,911"
"",Australia for UNHCR (AUL),0,0,"105,598 105,598"
"",Brunei Darussalam,0,0,"163,310 163,310"
"",Canada,"465,839","465,839","3,308,344 3,308,344"
"",Denmark,"911,300","911,300","4,056,651 4,056,651"
"",Egyptian Federation for Construction,,,
"",and Building Construction (ARE),0,0,"179,900 179,900"
"",España con ACNUR (SPA),0,0,"993,784 963,410"
"",European Commission,0,0,"880,282 880,282"
"",Finland,"218,723","218,723","2,329,396 2,329,396"
"",Finnish Refugee Council (FIN),0,0,"60,740 60,740"
"",France,"215,890","215,890","647,668 647,668"
"",Germany,0,0,"495,540 495,540"
"",Islamic Association of Bahrain (BAH),0,0,"10,000 10,000"
"",Japan,"250,000","250,000","8,250,000 8,250,000"
"",Japan Association for UNHCR (JPN),0,0,"710,088 710,088"
"",Kuwait,0,0,"450,000 450,000"
"",Liechtenstein,0,0,"67,114 67,114"
"",Mainichi Social Welfare,,,
"",Foundation (JPN),0,0,"26,515 26,515"
"",Netherlands,"2,187,227","2,187,227","7,033,380 7,033,380"
"",New Zealand,0,0,"So49u6t,0h0-0West 4A96s,0ia00"
"",Norway,"709,421","709,421","3,121,461 3,121,461"
"",Pakistan Petroleum Exploration,,,
"",Association (PAK),0,0,"23,872 23,872"
"",Private Donors Austria,0,0,32 32
"",Private Donors Canada,0,0,"5,581 5,581"
"",Private Donors China,0,0,472 472
"",Private Donors Germany,0,0,473 473
"",Private Donors Greece,0,0,"38,483 38,483"
"",Private Donors Indonesia,0,0,194 194
"",Private Donors Iran,189,189,0,0
"",Private Donors Italy,0,0,"1,168,397","1,168,397"
"",Private Donors Japan,0,0,"11,224","11,224"
"",Private Donors Korea,0,0,"18,992","18,992"
"",Private Donors Luxembourg,0,0,"3,200","3,200"
"",Private Donors Malaysia,0,0,"2,272","2,272"
"",Private Donors Mexico,0,0,278,278
"",Private Donors Monaco,0,0,"4,018","4,018"
"",Private Donors Pakistan,0,0,864,864
"",Private Donors Switzerland,0,0,211,211
"",Private Donors United Kingdom,0,0,"505,863","505,863"
"",Private Donors United States of America,0,0,"3,585","3,585"
"",Republic of Korea,0,0,"662,962","662,962"
"",Saudi Arab Red Crescent Society (SAU),0,0,"194,482","194,482"
"",Shin-Nyo-En Foundation (JPN),0,0,"50,000","50,000"
"",Sweden,"469,484","469,484","1,407,129","1,407,129"
"",Switzerland,0,0,"847,598","847,598"
"",Toyota Motor (JPN),0,0,"559,701","559,701"
"",UK for UNHCR (GBR),0,0,"126,273","126,273"
"",UN Association (CAN),0,0,"152,575","152,575"
"",United Kingdom,0,0,"7,812,500","7,812,500"
"",United States of America,"5,000,000","5,000,000","32,725,000","32,725,000"
"",USA for UNHCR (USA),0,0,"153,293","153,293"
"",Zakat House (KUW),0,0,"200,000","200,000"
"",Zenkoku Tobacco Union  (JPN),0,0,"52,715","52,715"
Total,,"34,198,546","34,577,154","153,482,974","153,460,495"
