"","Current year's projectsAnnual programme budget","Prior years' projectsAnnual and supplementary programmebudgets"
"Protection, monitoring and coordination","13,149,957",0
Community services,"465,393","101,354"
Domestic needs and household support,"6,464,117","3,809"
Health and nutrition,"281,014","110,497"
Income generation,"1,129,292","1,520,091"
Legal assistance,"2,118,839","793,434"
Operational support (to agencies),"1,862,268","1,034,770"
Shelter and infrastructure,"11,585,983","4,078,828"
Transport and logistics,"9,167,710","780,294"
Water,"1,320,706","1,032,906"
Instalments with implementing partners,"3,699,381","(9,455,983)"
Sub-total operational activities,"5A1fg,2h4an4i,s6t6an0",0
Programme support,"5,091,526",0
"56,336,186",0,
