""
"",Current year's projects,"Prior years'projects",,
"","Annual programmebudget","Supplementaryprogramme budget",Total,"Annual andsupplementaryprogramme budgets"
"Protection, monitoring andcoordination","8,044,514","844,417","8,888,931",0
Community services,"435,595",0,"435,595","124,615"
"Domestic needs andhousehold support","46,617","1,419,878","1,466,495","2,993"
Education,"2,465,318",0,"2,465,318","1,202,168"
Health and nutrition,"2,726,238",0,"2,726,238","1,092,969"
Legal assistance,"1,246,692","3,299","1,249,991","755,917"
"Operational support (toagencies)","1,408,134","8,387","1,416,521","390,702"
Sanitation,"51,701",0,"51,701","4,745"
Shelter and infrastructure,"10,369","3,976,917","3,987,286","16,731"
Transport and logistics,"118,555","2,393,318","2,511,873","26,858"
Water,"323,676",0,"323,676","159,272"
"Instalments withimplementing partners","3,314,062","1,811,856","5,125,918","(3,776,970)"
"Sub-total operationalactivities","20,191,471","10,458,072","30,649,543",0
Programme support,"2,500,339","281,248","2,781,587",0
"22,691,810","10,739,320","33,431,130",0,
