"Protection, monitoring and coordination","13,698,305",0
Community services,"599,509","80,448"
Domestic needs and household support,"24,145,674",0
Health and nutrition,"195,525","61,893"
Income generation,"608,410","63,051"
Legal assistance,"2,465,847","404,153"
Operational support (to agencies),"1,454,834","340,789"
Shelter and infrastructure,"13,098,924","610,604"
Transport and logistics,"7,176,228","473,283"
Water,"821,187","217,400"
Instalments to implementing partners,"2,393,042","(2,251,621)"
Subtotal operational activities,"66,657,485",0
Programme support,"7,856,915",0
Total expenditure,"74,514,400",0
