EXPENDITURE BREAKDOWN,,,
Favourable protection environment,,,
National legal framework,,"102,922","102,922"
National and regional migration policy,,"42,076","42,076"
Co-operation with partners,,"26,276","26,276"
National development policies,,"42,076","42,076"
Public attitudes towards persons of concern,,"24,075","24,075"
Access to territory,,"18,639","18,639"
Non-refoulement,,"18,640","18,640"
Environmental protection,,"42,076","42,076"
Emergency management strengthened,,"66,150","66,150"
"",Subtotal,"382,928","382,928"
Fair protection processes and documentation,,,
Registration and profiling,,"154,194","154,194"
Access to asylum procedures,,"54,436","54,436"
Fair and efficient status determination,,"54,436","54,436"
Individual documentation,,"104,751","104,751"
Civil status documentation,,"85,349","85,349"
"",Subtotal,"453,166","453,166"
Security from violence and exploitation,,
Gender-based violence,"208,232","208,232"
Protection of children,"205,539","205,539"
Freedom of movement,"89,851","89,851"
Non-arbitrary detention,"170,497","170,497"
Access to legal remedies,"433,043","433,043"
Subtotal,"1,107,162","1,107,162"
Basic needs and essential services,,
Nutrition,"83,108","83,108"
Shelter and other infrastructure,"722,126","722,126"
Basic domestic and hygiene items,"438,412","438,412"
Primary health care,"3,728,525","3,728,525"
HIV and AIDS,"183,976","183,976"
Education,"268,245","268,245"
Sanitation services,"254,709","254,709"
Services for groups with specific needs,"502,771","502,771"
Subtotal,"6,181,873","6,181,873"
Community participation and self-management,,
Participatory assessment and community mobilisation,"229,867","229,867"
"Community self-management and equalrepresentation","223,008","223,008"
Camp management and coordination,"173,215","173,215"
Self-reliance and livelihoods,"335,027","335,027"
Subtotal,"961,117","961,117"
Durable solutions,,
Voluntary return,"1,487,962","1,487,962"
Resettlement,"483,693","483,693"
Subtotal,"1,971,655","1,971,655"
External relations,,
Donor relations,"63,609","63,609"
Resource mobilisation,"61,852","61,852"
Partnership,"70,245","70,245"
Public information,"90,604","90,604"
Subtotal,"286,309","286,309"
Logistics and operations support,,
Supply chain and logistics,"541,678","541,678"
"Programme management, coordination and support","1,778,878","1,778,878"
Subtotal,"2,320,555","2,320,555"
Instalments to implementing partners,"7,080,886","7,080,886"
Other objectives,697,697
Total,"20,746,348","20,746,348"
